city,date,keyword,type,value
全国,2015-12-01,雪佛龙,all,386
全国,2015-12-09,雪佛龙,all,389
全国,2015-12-03,雪佛龙,all,398
全国,2015-12-08,雪佛龙,all,467
全国,2015-12-07,雪佛龙,all,398
全国,2015-12-13,雪佛龙,all,354
全国,2015-12-04,雪佛龙,all,373
全国,2015-12-06,雪佛龙,all,344
全国,2015-12-10,雪佛龙,all,377
全国,2015-12-12,雪佛龙,all,329
全国,2015-12-02,雪佛龙,all,356
全国,2015-12-18,雪佛龙,all,381
全国,2015-12-20,雪佛龙,all,295
全国,2015-12-17,雪佛龙,all,371
全国,2015-12-05,雪佛龙,all,295
全国,2015-12-19,雪佛龙,all,333
全国,2015-12-16,雪佛龙,all,380
全国,2015-12-24,雪佛龙,all,437
全国,2016-02-05,雪佛龙,all,316
全国,2015-12-28,雪佛龙,all,437
全国,2016-01-08,雪佛龙,all,460
全国,2015-12-21,雪佛龙,all,425
全国,2016-01-25,雪佛龙,all,409
全国,2016-02-04,雪佛龙,all,347
全国,2016-01-21,雪佛龙,all,407
全国,2016-01-19,雪佛龙,all,384
全国,2016-01-03,雪佛龙,all,456
全国,2015-12-14,雪佛龙,all,401
全国,2015-12-31,雪佛龙,all,334
全国,2016-01-01,雪佛龙,all,277
全国,2016-02-09,雪佛龙,all,227
全国,2016-01-24,雪佛龙,all,313
全国,2016-01-12,雪佛龙,all,437
全国,2016-02-06,雪佛龙,all,247
全国,2016-02-02,雪佛龙,all,337
全国,2016-01-22,雪佛龙,all,411
全国,2015-12-27,雪佛龙,all,375
全国,2015-12-11,雪佛龙,all,451
全国,2016-01-06,雪佛龙,all,452
全国,2016-01-10,雪佛龙,all,387
全国,2016-01-05,雪佛龙,all,400
全国,2016-02-14,雪佛龙,all,340
全国,2016-02-15,雪佛龙,all,373
全国,2016-01-31,雪佛龙,all,271
全国,2015-12-26,雪佛龙,all,339
全国,2016-01-07,雪佛龙,all,522
全国,2016-01-02,雪佛龙,all,341
全国,2016-01-09,雪佛龙,all,370
全国,2016-01-26,雪佛龙,all,378
全国,2016-01-29,雪佛龙,all,448
全国,2016-02-08,雪佛龙,all,222
全国,2016-01-28,雪佛龙,all,418
全国,2016-01-13,雪佛龙,all,464
全国,2016-01-23,雪佛龙,all,309
全国,2015-12-30,雪佛龙,all,384
全国,2016-02-12,雪佛龙,all,308
全国,2016-01-27,雪佛龙,all,409
全国,2015-12-25,雪佛龙,all,382
全国,2016-02-10,雪佛龙,all,252
全国,2015-12-15,雪佛龙,all,419
全国,2015-12-29,雪佛龙,all,395
全国,2016-02-16,雪佛龙,all,413
全国,2016-02-19,雪佛龙,all,389
全国,2016-01-14,雪佛龙,all,422
全国,2016-02-18,雪佛龙,all,457
全国,2016-02-17,雪佛龙,all,454
全国,2016-01-18,雪佛龙,all,421
全国,2016-02-13,雪佛龙,all,296
全国,2016-01-15,雪佛龙,all,405
全国,2016-01-16,雪佛龙,all,345
全国,2015-12-23,雪佛龙,all,440
全国,2016-01-04,雪佛龙,all,509
全国,2016-02-11,雪佛龙,all,262
全国,2016-01-30,雪佛龙,all,330
全国,2016-02-07,雪佛龙,all,192
全国,2016-02-01,雪佛龙,all,382
全国,2016-02-03,雪佛龙,all,400
全国,2016-01-11,雪佛龙,all,437
全国,2016-01-17,雪佛龙,all,331
全国,2016-01-20,雪佛龙,all,429
全国,2015-12-22,雪佛龙,all,489
全国,2016-02-20,雪佛龙,all,328
全国,2016-02-24,雪佛龙,all,444
全国,2015-12-15,雪佛龙,pc,240
全国,2015-12-18,雪佛龙,pc,223
全国,2016-02-21,雪佛龙,all,315
全国,2015-12-09,雪佛龙,pc,231
全国,2015-12-05,雪佛龙,pc,155
全国,2015-12-06,雪佛龙,pc,168
全国,2016-02-26,雪佛龙,all,440
全国,2015-12-11,雪佛龙,pc,268
全国,2015-12-14,雪佛龙,pc,231
全国,2016-02-27,雪佛龙,all,334
全国,2015-12-04,雪佛龙,pc,200
全国,2015-12-07,雪佛龙,pc,229
全国,2016-02-22,雪佛龙,all,419
全国,2015-12-21,雪佛龙,pc,248
全国,2016-02-29,雪佛龙,all,418
全国,2015-12-03,雪佛龙,pc,236
全国,2015-12-16,雪佛龙,pc,207
全国,2015-12-22,雪佛龙,pc,288
全国,2015-12-17,雪佛龙,pc,223
全国,2016-02-25,雪佛龙,all,474
全国,2015-12-12,雪佛龙,pc,161
全国,2016-02-23,雪佛龙,all,469
全国,2015-12-10,雪佛龙,pc,218
全国,2016-02-28,雪佛龙,all,318
全国,2015-12-08,雪佛龙,pc,284
全国,2015-12-01,雪佛龙,pc,220
全国,2015-12-02,雪佛龙,pc,197
全国,2015-12-13,雪佛龙,pc,163
全国,2015-12-20,雪佛龙,pc,144
全国,2015-12-19,雪佛龙,pc,183
全国,2015-12-23,雪佛龙,pc,264
全国,2015-12-27,雪佛龙,pc,193
全国,2015-12-26,雪佛龙,pc,157
全国,2015-12-28,雪佛龙,pc,257
全国,2015-12-24,雪佛龙,pc,251
全国,2016-01-02,雪佛龙,pc,172
全国,2016-01-01,雪佛龙,pc,118
全国,2016-01-20,雪佛龙,pc,257
全国,2016-01-12,雪佛龙,pc,260
全国,2016-02-06,雪佛龙,pc,127
全国,2016-01-05,雪佛龙,pc,218
全国,2016-02-11,雪佛龙,pc,125
全国,2016-01-03,雪佛龙,pc,202
全国,2015-12-31,雪佛龙,pc,183
全国,2016-01-17,雪佛龙,pc,162
全国,2016-02-12,雪佛龙,pc,135
全国,2016-01-11,雪佛龙,pc,254
全国,2016-02-14,雪佛龙,pc,211
全国,2016-01-28,雪佛龙,pc,267
全国,2016-01-26,雪佛龙,pc,223
全国,2016-01-27,雪佛龙,pc,243
