city,date,keyword,type,value
上海,2016-06-01,紧凑型车,all,0
上海,2016-06-03,紧凑型车,all,122
上海,2016-06-02,紧凑型车,all,57
上海,2016-06-08,紧凑型车,all,61
上海,2016-06-15,紧凑型车,all,68
上海,2016-06-05,紧凑型车,all,57
上海,2016-06-19,紧凑型车,all,118
上海,2016-06-13,紧凑型车,all,129
上海,2016-06-18,紧凑型车,all,118
上海,2016-06-21,紧凑型车,all,116
上海,2016-06-07,紧凑型车,all,118
上海,2016-08-13,紧凑型车,all,68
上海,2016-08-07,紧凑型车,all,118
上海,2016-06-25,紧凑型车,all,0
上海,2016-06-11,紧凑型车,all,64
上海,2016-06-12,紧凑型车,all,118
上海,2016-08-10,紧凑型车,all,118
上海,2016-07-07,紧凑型车,all,118
上海,2016-07-01,紧凑型车,all,61
上海,2016-07-08,紧凑型车,all,118
上海,2016-07-18,紧凑型车,all,61
上海,2016-08-05,紧凑型车,all,61
上海,2016-07-19,紧凑型车,all,59
上海,2016-07-25,紧凑型车,all,66
上海,2016-07-12,紧凑型车,all,0
上海,2016-07-11,紧凑型车,all,61
上海,2016-08-06,紧凑型车,all,123
上海,2016-07-02,紧凑型车,all,0
上海,2016-06-19,紧凑型车,pc,57
上海,2016-06-03,紧凑型车,pc,61
上海,2016-07-05,紧凑型车,all,121
上海,2016-07-31,紧凑型车,all,61
上海,2016-06-08,紧凑型车,pc,0
上海,2016-08-02,紧凑型车,all,57
上海,2016-07-17,紧凑型车,all,61
上海,2016-08-11,紧凑型车,all,120
上海,2016-07-22,紧凑型车,all,114
上海,2016-06-23,紧凑型车,all,118
上海,2016-07-16,紧凑型车,all,59
上海,2016-07-29,紧凑型车,all,118
上海,2016-06-12,紧凑型车,pc,57
上海,2016-06-22,紧凑型车,pc,0
上海,2016-07-20,紧凑型车,all,120
上海,2016-06-01,紧凑型车,pc,0
上海,2016-06-22,紧凑型车,all,61
上海,2016-07-09,紧凑型车,all,64
上海,2016-08-15,紧凑型车,all,120
上海,2016-08-08,紧凑型车,all,57
上海,2016-07-21,紧凑型车,all,59
上海,2016-08-01,紧凑型车,all,123
上海,2016-06-11,紧凑型车,pc,0
上海,2016-06-27,紧凑型车,all,118
上海,2016-06-24,紧凑型车,all,122
上海,2016-06-16,紧凑型车,all,64
上海,2016-06-06,紧凑型车,pc,0
上海,2016-06-21,紧凑型车,pc,59
上海,2016-06-29,紧凑型车,all,118
上海,2016-07-23,紧凑型车,all,120
上海,2016-06-24,紧凑型车,pc,61
上海,2016-06-20,紧凑型车,all,118
上海,2016-06-13,紧凑型车,pc,59
上海,2016-07-14,紧凑型车,all,59
上海,2016-08-03,紧凑型车,all,127
上海,2016-07-28,紧凑型车,all,122
上海,2016-06-09,紧凑型车,all,64
上海,2016-07-30,紧凑型车,all,116
上海,2016-06-07,紧凑型车,pc,57
上海,2016-08-09,紧凑型车,all,122
上海,2016-06-10,紧凑型车,all,64
上海,2016-06-04,紧凑型车,all,59
上海,2016-07-04,紧凑型车,all,64
上海,2016-07-06,紧凑型车,all,59
上海,2016-07-03,紧凑型车,all,61
上海,2016-06-14,紧凑型车,all,131
上海,2016-06-18,紧凑型车,pc,57
上海,2016-06-30,紧凑型车,all,57
上海,2016-06-04,紧凑型车,pc,59
上海,2016-06-06,紧凑型车,all,0
上海,2016-08-12,紧凑型车,all,114
上海,2016-06-23,紧凑型车,pc,57
上海,2016-06-20,紧凑型车,pc,57
上海,2016-07-24,紧凑型车,all,61
上海,2016-07-13,紧凑型车,all,120
上海,2016-06-14,紧凑型车,pc,63
上海,2016-06-15,紧凑型车,pc,0
上海,2016-06-26,紧凑型车,all,118
上海,2016-07-27,紧凑型车,all,120
上海,2016-08-14,紧凑型车,all,114
上海,2016-06-17,紧凑型车,pc,63
上海,2016-06-10,紧凑型车,pc,0
上海,2016-07-26,紧凑型车,all,118
上海,2016-06-17,紧凑型车,all,120
上海,2016-06-02,紧凑型车,pc,57
上海,2016-08-04,紧凑型车,all,114
上海,2016-06-05,紧凑型车,pc,0
上海,2016-06-28,紧凑型车,all,123
上海,2016-06-09,紧凑型车,pc,0
上海,2016-06-16,紧凑型车,pc,0
上海,2016-07-15,紧凑型车,all,120
上海,2016-07-10,紧凑型车,all,118
上海,2016-06-26,紧凑型车,pc,57
上海,2016-06-30,紧凑型车,pc,0
上海,2016-06-28,紧凑型车,pc,59
上海,2016-07-04,紧凑型车,pc,0
上海,2016-06-29,紧凑型车,pc,57
上海,2016-07-02,紧凑型车,pc,0
上海,2016-06-27,紧凑型车,pc,61
上海,2016-07-03,紧凑型车,pc,0
上海,2016-07-05,紧凑型车,pc,57
上海,2016-06-25,紧凑型车,pc,0
上海,2016-07-01,紧凑型车,pc,61
上海,2016-07-06,紧凑型车,pc,0
上海,2016-07-11,紧凑型车,pc,0
上海,2016-07-15,紧凑型车,pc,59
上海,2016-07-14,紧凑型车,pc,0
上海,2016-07-20,紧凑型车,pc,59
上海,2016-07-17,紧凑型车,pc,0
上海,2016-07-08,紧凑型车,pc,59
上海,2016-07-16,紧凑型车,pc,0
上海,2016-07-30,紧凑型车,pc,59
上海,2016-07-23,紧凑型车,pc,63
上海,2016-07-24,紧凑型车,pc,0
上海,2016-07-10,紧凑型车,pc,59
上海,2016-07-22,紧凑型车,pc,57
上海,2016-07-19,紧凑型车,pc,0
上海,2016-07-29,紧凑型车,pc,57
上海,2016-07-21,紧凑型车,pc,0
上海,2016-07-12,紧凑型车,pc,0
上海,2016-07-09,紧凑型车,pc,0
上海,2016-07-18,紧凑型车,pc,0
上海,2016-07-13,紧凑型车,pc,59
上海,2016-06-05,紧凑型车,wise,57
上海,2016-07-25,紧凑型车,pc,66
上海,2016-08-03,紧凑型车,pc,63
上海,2016-07-27,紧凑型车,pc,61
上海,2016-07-31,紧凑型车,pc,0
上海,2016-08-06,紧凑型车,pc,59
上海,2016-07-26,紧凑型车,pc,59
上海,2016-08-13,紧凑型车,pc,0
上海,2016-08-14,紧凑型车,pc,57
上海,2016-08-05,紧凑型车,pc,0
上海,2016-08-08,紧凑型车,pc,0
上海,2016-06-07,紧凑型车,wise,61
上海,2016-06-04,紧凑型车,wise,0
上海,2016-08-02,紧凑型车,pc,0
上海,2016-08-10,紧凑型车,pc,57
上海,2016-08-15,紧凑型车,pc,59
上海,2016-07-28,紧凑型车,pc,63
上海,2016-08-11,紧凑型车,pc,61
上海,2016-08-04,紧凑型车,pc,57
上海,2016-06-11,紧凑型车,wise,64
上海,2016-06-13,紧凑型车,wise,70
上海,2016-08-09,紧凑型车,pc,61
上海,2016-06-01,紧凑型车,wise,0
上海,2016-06-14,紧凑型车,wise,68
上海,2016-08-12,紧凑型车,pc,57
上海,2016-06-15,紧凑型车,wise,68
上海,2016-06-08,紧凑型车,wise,61
上海,2016-08-07,紧凑型车,pc,57
上海,2016-08-01,紧凑型车,pc,59
上海,2016-06-12,紧凑型车,wise,61
上海,2016-06-06,紧凑型车,wise,0
上海,2016-06-03,紧凑型车,wise,61
上海,2016-06-10,紧凑型车,wise,64
