city,date,keyword,type,value
上海,2014-01-01,紧凑型车,all,120
上海,2014-01-10,紧凑型车,all,127
上海,2014-01-09,紧凑型车,all,125
上海,2014-01-27,紧凑型车,all,140
上海,2014-01-05,紧凑型车,all,116
上海,2014-01-12,紧凑型车,all,135
上海,2014-02-02,紧凑型车,all,116
上海,2014-02-01,紧凑型车,all,125
上海,2014-03-30,紧凑型车,all,127
上海,2014-03-05,紧凑型车,all,133
上海,2014-02-16,紧凑型车,all,136
上海,2014-03-06,紧凑型车,all,127
上海,2014-03-07,紧凑型车,all,124
上海,2014-03-12,紧凑型车,all,61
上海,2014-03-17,紧凑型车,all,136
上海,2014-03-10,紧凑型车,all,123
上海,2014-03-11,紧凑型车,all,135
上海,2014-02-06,紧凑型车,all,122
上海,2014-03-27,紧凑型车,all,131
上海,2014-03-13,紧凑型车,all,125
上海,2014-03-01,紧凑型车,all,118
上海,2014-03-20,紧凑型车,all,127
上海,2014-02-26,紧凑型车,all,136
上海,2014-03-28,紧凑型车,all,125
上海,2014-02-11,紧凑型车,all,127
上海,2014-03-23,紧凑型车,all,123
上海,2014-02-23,紧凑型车,all,138
上海,2014-01-31,紧凑型车,all,118
上海,2014-03-26,紧凑型车,all,120
上海,2014-01-04,紧凑型车,all,118
上海,2014-01-22,紧凑型车,all,123
上海,2014-03-08,紧凑型车,all,130
上海,2014-01-19,紧凑型车,all,118
上海,2014-03-16,紧凑型车,all,120
上海,2014-01-02,紧凑型车,all,125
上海,2014-03-22,紧凑型车,all,63
上海,2014-02-15,紧凑型车,all,127
上海,2014-02-09,紧凑型车,all,129
上海,2014-01-18,紧凑型车,all,0
上海,2014-03-09,紧凑型车,all,125
上海,2014-02-20,紧凑型车,all,120
上海,2014-01-08,紧凑型车,all,121
上海,2014-01-17,紧凑型车,all,118
上海,2014-01-28,紧凑型车,all,122
上海,2014-03-03,紧凑型车,all,135
上海,2014-02-05,紧凑型车,all,61
上海,2014-02-17,紧凑型车,all,125
上海,2014-02-03,紧凑型车,all,120
上海,2014-03-19,紧凑型车,all,124
上海,2014-02-27,紧凑型车,all,131
上海,2014-02-14,紧凑型车,all,124
上海,2014-02-12,紧凑型车,all,122
上海,2014-01-29,紧凑型车,all,118
上海,2014-03-04,紧凑型车,all,126
上海,2014-02-19,紧凑型车,all,122
上海,2014-03-21,紧凑型车,all,123
上海,2014-02-25,紧凑型车,all,121
上海,2014-02-18,紧凑型车,all,123
上海,2014-01-20,紧凑型车,all,123
上海,2014-02-10,紧凑型车,all,133
上海,2014-01-06,紧凑型车,all,114
上海,2014-03-24,紧凑型车,all,126
上海,2014-02-08,紧凑型车,all,130
上海,2014-01-23,紧凑型车,all,125
上海,2014-02-04,紧凑型车,all,124
上海,2014-01-26,紧凑型车,all,121
上海,2014-01-03,紧凑型车,all,129
上海,2014-01-24,紧凑型车,all,116
上海,2014-01-16,紧凑型车,all,122
上海,2014-02-13,紧凑型车,all,121
上海,2014-01-25,紧凑型车,all,123
上海,2014-01-21,紧凑型车,all,125
